"anio_acci","nro_acci","fecha","desc_dia","fecha_aprox","hora_aprox","desc_ruta","km","cant_participantes","desc_participante","calle_avenida_km","total","heridos_leves","heridos_graves","heridos_gravisimos","ilesos","fallecidos","sin_datos","posicion_XY","desc_tipo_via","desc_ruta_ori","desc_loc","desc_dpto","desc_tipo_calzada","desc_tipo_banquina","desc_unidad_regional","desc_lugar_calzada","desc_zona","desc_prioridad","desc_estado_semaforo","desc_lugar_via","desc_estado_via","desc_estado_visibilidad","desc_luminosidad","desc_estado_clima","desc_tipo_colision","desc_tipo_atropello","desc_tipo_hecho","desc_pres_calzada","desc_senializacion","desc_separacion_via","desc_restriccion"
2014,1,29/01/2014,"Miercoles",0,17:00:00,,"0.0",2,"Bicicleta,Transporte de Pasajeros Larga Distancia (> 8 asientos)","Estanislao Zeballos 4400",2,1,0,0,1,0,0,"-31.600176988029,-60.718596199021","Calle",,"SANTA FE","La Capital","Hormigón","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","S/D","S/D","Atropello","S/D","Vertical","Ninguna","Sin restricción"
2014,2,26/01/2014,"Domingo",0,11:00:00,,"0.0",2,"Moto/Ciclomotor,Moto/Ciclomotor","Av Peñaloza Y Estanislao Zeballos",3,1,0,0,0,0,2,,"Avenida",,"SANTA FE","La Capital","Hormigón","Pavimento","I","Dentro","Urbana","Semáforo","Funciona","Intersección","Bueno","S/D","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","S/D","Cordón divisorio","Sin restricción"
2014,3,12/01/2014,"Domingo",0,08:30:00,"Ruta Provincial 2","0.0",1,"Moto/Ciclomotor","AV. ARISTOBULO DEL VALLE Y RUTA PROVINCIAL 2",1,0,1,0,0,0,0,,"Ruta",2,"ANGEL GALLARDO","La Capital","Hormigón","Natural","I","Dentro","Rural","Ninguna","No existe","Rotonda","Bueno","Buena","Diurna","Buen Tiempo","Contra objeto fijo","S/D","Caída ocupante,Colisión","S/D","S/D","Cordón divisorio","Sin restricción"
2014,4,11/01/2014,"Sabado",0,18:00:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Misiones Y Cafferata",2,0,0,0,0,0,2,,"Calle",,"SANTA FE","La Capital","S/D","S/D","I","S/D","Urbana","S/D","S/D","Recta","S/D","S/D","Diurna","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D"
2014,5,14/01/2014,"Martes",0,19:30:00,"Ruta Provincial 2","14.5",2,"Automóvil,Moto/Ciclomotor"," ",3,1,0,0,2,0,0,,"Ruta",2,"MONTE VERA","La Capital","Hormigón","Natural","I","Dentro","Rural","Ninguna","No existe","Recta","Bueno","Buena","Atardecer","Buen Tiempo","Lateral","S/D","Colisión","S/D","S/D","Ninguna","Sin restricción"
2014,6,24/01/2014,"Viernes",0,22:50:00,"Ruta Nacional 11","0.0",2,"Peatón,Otros","AV BLAS PARERA Y BERUTTI",2,1,0,0,0,0,1,"-31.584841412234,-60.72610389089","Ruta",11,"SANTA FE","La Capital","Hormigón","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Nocturna,Con luz artificial","Buen Tiempo","S/D","S/D","Atropello","S/D","Horizontal,Vertical","Cordón divisorio","Sin restricción"
2014,7,12/01/2014,"Domingo",0,20:35:00,"Ruta Provincial 2","0.0",2,"Moto/Ciclomotor,Moto/Ciclomotor"," ",3,2,1,0,0,0,0,,"Ruta",2,"MONTE VERA","La Capital","Hormigón","Natural","I","Dentro","Rural","Ninguna","No existe","Recta","Bueno","Buena","Atardecer","Buen Tiempo","Lateral","S/D","Colisión","S/D","S/D","Ninguna","Sin restricción"
2014,8,21/01/2014,"Martes",0,10:00:00,"Ruta Nacional 11","0.0",2,"Moto/Ciclomotor,Pickup/Utilitario","AV BLAS PARERA Y AZCUENAGA",3,2,0,0,1,0,0,,"Ruta",11,"SANTA FE","La Capital","Hormigón","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Horizontal,Vertical","Cordón divisorio","Sin restricción"
2014,9,18/01/2014,"Sabado",0,06:00:00,"Ruta Provincial 4","0.0",1,"Moto/Ciclomotor"," ",3,3,0,0,0,0,0,,"Ruta",4,"LAGUNA PAIVA","La Capital","Asfalto","Natural","I","S/D","S/D","S/D","S/D","Recta","Bueno","Buena","Amanecer","Buen Tiempo","De alcance","S/D","Colisión","S/D","S/D","S/D","Sin restricción"
2014,10,30/01/2014,"Jueves",1,22:40:00,,"0.0",2,"Peatón,Moto/Ciclomotor","Chaco Y Chaco",2,0,1,0,1,0,0,"-31.570277777778,-60.731277777778","Calle",,"SANTA FE","La Capital","S/D","S/D","I","S/D","Urbana","S/D","S/D","Recta","S/D","S/D","S/D","S/D","S/D","S/D","Atropello","S/D","S/D","S/D","S/D"
