"anio_acci","nro_acci","fecha","desc_dia","fecha_aprox","hora_aprox","desc_ruta","km","cant_participantes","desc_participante","calle_avenida_km","total","heridos_leves","heridos_graves","heridos_gravisimos","ilesos","fallecidos","sin_datos","posicion_XY","desc_tipo_via","desc_ruta_ori","desc_loc","desc_dpto","desc_tipo_calzada","desc_tipo_banquina","desc_unidad_regional","desc_lugar_calzada","desc_zona","desc_prioridad","desc_estado_semaforo","desc_lugar_via","desc_estado_via","desc_estado_visibilidad","desc_luminosidad","desc_estado_clima","desc_tipo_colision","desc_tipo_atropello","desc_tipo_hecho","desc_pres_calzada","desc_senializacion","desc_separacion_via","desc_restriccion"
2016,1,1/27/2016,"Miercoles",0,23:00:00,,"0.0",2,"Bicicleta,Moto/Ciclomotor","B Anduiza 250",3,2,0,0,0,1,0,"-31.258388888889,-61.472138888889","Calle",,"RAFAELA","Castellanos","Asfalto","No existe","V","Dentro","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Nocturna,Con luz artificial","Buen Tiempo","S/D","S/D","Atropello","Ninguna","Faltante","Ninguna","Sin restricción"
2016,2,1/11/2016,"Lunes",0,8:30:00,"Ruta Nacional 19","106.0",1,"Pickup/Utilitario"," ",4,3,0,0,0,1,0,"-31.4626582, -61.838394","Ruta",19,"COLONIA CELLO","Castellanos","Asfalto","Pavimento","V","Fuera","Rural","Ninguna","No existe","Rotonda","Bueno","Buena","Diurna","Buen Tiempo","Contra objeto fijo","S/D","Colisión,Vuelco,Despiste","Ninguna","Horizontal","Vegetación","Sin restricción"
2016,3,1/24/2016,"Domingo",0,,"Ruta Nacional 34","299.0",3,"Camión,Camión,Camión"," ",3,2,0,0,0,1,0,"-30.6035831, -61.6290613","Ruta",34,"MONIGOTES","San Cristóbal","Hormigón","Natural","XIII","Dentro","Rural","S/D","S/D","S/D","S/D","S/D","Diurna","S/D","Múltiple","S/D","Colisión","S/D","Horizontal","Línea divisoria pintada","S/D"
2016,4,1/16/2016,"Sabado",0,4:00:00,"Ruta Provincial 23","0.0",1,"Pickup/Utilitario","A 1 KM AL SUR DE LA LOCALIDAD VILLA TRINIDAD ",5,3,1,0,0,1,0,"-30.243685972063, -61.871043","Ruta",23,"VILLA TRINIDAD","San Cristóbal","Asfalto","Natural","XIII","Fuera","Rural","Ninguna","No existe","Recta","Bueno","Reducida","Nocturna","Buen Tiempo","S/D","S/D","Vuelco","Ninguna","Faltante","Ninguna","Sin restricción"
2016,5,1/1/2016,"Viernes",0,12:20:00,,"0.0",2,"Moto/Ciclomotor,Moto/Ciclomotor","Carlos Pellegrii Y Jorge Baurle",2,1,0,0,0,1,0,"-29.885199, -61.957063","Calle",,"CERES","San Cristóbal","Arena","No existe","XIII","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Frontal","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2016,6,1/18/2016,"Lunes",0,15:44:00,,"0.0",1,"Pickup/Utilitario","CAMINO RURAL COMUNAL N&#186; 2 A 800 M DE RP94 ",1,0,0,0,0,1,0,"-33.649726, -61.855175","Camino Rural",,"MURPHY","General López","Tierra","No existe","VIII","S/D","Rural","Ninguna","No existe","Recta","Ahuellamiento","Buena","Diurna","Buen Tiempo","Otro","S/D","Vuelco","Otro","Faltante","Ninguna","Sin restricción"
2016,7,1/23/2016,"Sabado",0,12:00:00,,"0.0",2,"Moto/Ciclomotor,Taxi/Remis","Boneo Y Juan Diaz de Solis",2,1,0,0,0,1,0,"-31.600333333333,-60.713583333333","Calle",,"SANTA FE","La Capital","Asfalto,Tierra","Natural","I","Dentro","Urbana","Ninguna","S/D","Intersección","Deteriorada","Buena","Diurna","Buen Tiempo","Frontal","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2016,8,1/24/2016,"Domingo",0,22:10:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Lavalle Y Av Galicia",2,0,0,0,1,1,0,"-31.6075,-60.681083333333","Avenida",,"SANTA FE","La Capital","Asfalto","S/D","I","S/D","Urbana","S/D","S/D","Intersección","Bueno","Buena","Nocturna,Con luz artificial","S/D","S/D","S/D","Colisión","S/D","S/D","S/D","S/D"
2016,9,1/24/2016,"Domingo",0,17:45:00,"Autopista Nacional Rosario -Cordoba","305.0",2,"Automóvil,Automóvil"," ",5,4,0,0,0,1,0,"-32.9417184, -60.8065417","Autopista","Rosario -Cordoba","FUNES","Rosario","Asfalto","Natural","II","Dentro","Rural","Marca Vial","No existe","Curva","Bueno","Buena","Atardecer","Buen Tiempo","Frontal","S/D","Colisión","S/D","Horizontal","Vegetación","S/D"
2016,10,2/8/2016,"Lunes",0,1:30:00,"Ruta Provincial 2","18.0",2,"Automóvil,Moto/Ciclomotor"," ",4,3,0,0,0,1,0,"-31.419350, -60.667569","Ruta",2,"MONTE VERA","La Capital","Hormigón","Ripio","I","Dentro","Rural","Ninguna","No existe","Intersección","Bueno","Buena","Nocturna,Con luz artificial","Otro","Lateral","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
