"anio_acci","nro_acci","fecha","desc_dia","fecha_aprox","hora_aprox","desc_ruta","km","cant_participantes","desc_participante","calle_avenida_km","total","heridos_leves","heridos_graves","heridos_gravisimos","ilesos","fallecidos","sin_datos","posicion_XY","desc_tipo_via","desc_ruta_ori","desc_loc","desc_dpto","desc_tipo_calzada","desc_tipo_banquina","desc_unidad_regional","desc_lugar_calzada","desc_zona","desc_prioridad","desc_estado_semaforo","desc_lugar_via","desc_estado_via","desc_estado_visibilidad","desc_luminosidad","desc_estado_clima","desc_tipo_colision","desc_tipo_atropello","desc_tipo_hecho","desc_pres_calzada","desc_senializacion","desc_separacion_via","desc_restriccion"
2017,1,1/5/2017,"Jueves",0,11:00:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Av Facundo Zuviria Y Gorriti",2,1,0,0,1,0,0,,"Avenida",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","S/D","Funciona","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Vertical","S/D","S/D"
2017,2,1/9/2017,"Lunes",0,7:00:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Av Facundo Zuviria Y Gorriti",2,1,0,0,1,0,0,,"Avenida",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","S/D","Funciona","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Vertical","S/D","S/D"
2017,3,1/11/2017,"Miercoles",0,18:00:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Av Facundo Zuviria Y Gorriti",2,1,0,0,1,0,0,,"Avenida",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","S/D","Funciona","Intersección","Bueno","Buena","Atardecer","Buen Tiempo","Lateral","S/D","Colisión","S/D","Vertical","S/D","S/D"
2017,4,1/12/2017,"Jueves",0,21:30:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","San Lorenzo Y Reg 12 de Infanteria",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto,Tierra","Pavimento","I","Dentro","Urbana","S/D","No existe","Intersección","Con baches","Buena","Nocturna,Con luz artificial","Buen Tiempo","Lateral","S/D","Colisión","S/D","Faltante","S/D","S/D"
2017,5,1/2/2017,"Lunes",0,12:00:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Callejon Roca Y Rivadavia",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Tierra","No existe","I","Dentro","Urbana","Ninguna","No existe","Intersección","Con baches","Reducida polvo","Diurna","Otro","Lateral","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2017,6,1/11/2017,"Miercoles",0,15:20:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Av A del Valle Y Callejon Funes",2,1,0,0,1,0,0,,"Avenida",,"SANTA FE","La Capital","Asfalto","No existe","I","Dentro","Urbana","Ninguna","No existe","Intersección","Con baches","Buena","Diurna","Otro","Lateral","S/D","Colisión","Ninguna","Vertical","Ninguna","Sin restricción"
2017,7,1/26/2017,"Jueves",0,17:00:00,,"0.0",2,"Moto/Ciclomotor,Pickup/Utilitario","Bv Pellegrini Y San Juan",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","No existe","I","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Faltante","Cordón divisorio","Sin restricción"
2017,8,1/3/2017,"Martes",0,19:55:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Av Urquiza Y Vieytes",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","S/D","I","Dentro","Urbana","S/D","S/D","Intersección","Bueno","S/D","Diurna","S/D","Lateral","S/D","Colisión","S/D","S/D","S/D","S/D"
2017,9,1/5/2017,"Jueves",0,21:30:00,,"0.0",2,"Automóvil,Automóvil","Av A del Valle Y Pedro de Vega",3,1,0,0,2,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","No existe","I","Dentro","Urbana","Semáforo","Funciona","Recta","Bueno","Buena","Nocturna,Con luz artificial","Buen Tiempo","Lateral","S/D","Colisión","S/D","S/D","Línea divisoria pintada","S/D"
2017,10,1/10/2017,"Martes",0,9:00:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Av A del Valle Y J Castelli",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","S/D","I","Dentro","Urbana","Ninguna","Funciona","Intersección","Bueno","Buena","S/D","Buen Tiempo","Lateral","S/D","Colisión","S/D","S/D","Línea divisoria pintada","S/D"
2017,11,1/11/2017,"Miercoles",0,14:00:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","J Castelli Y 9 de Julio",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","S/D","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","S/D","S/D","S/D"
2017,12,1/11/2017,"Miercoles",0,20:00:00,,"0.0",2,"Bicicleta,Automóvil","Av Facundo Zuviria 3500",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","S/D","Funciona","Recta","Bueno","Buena","Diurna","Buen Tiempo","De alcance","Ciclista","Atropello","S/D","Horizontal,Vertical","Cordón divisorio","S/D"
2017,14,1/11/2017,"Miercoles",0,20:00:00,,"0.0",2,"Bicicleta,Automóvil","J Castelli 2600",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","S/D","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","Ciclista","Atropello","S/D","Faltante","Ninguna","Sin restricción"
2017,15,1/12/2017,"Jueves",0,,,"0.0",2,"Bicicleta,Automóvil","Av Facundo Zuviria Y Espora",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","Ciclista","Atropello","S/D","Vertical","Cordón divisorio","Sin restricción"
2017,16,1/1/2017,"Domingo",0,3:00:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Iturraspe Y Av Urquiza",3,1,0,0,1,0,1,,"Calle",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Recta","Deteriorada","Reducida","Nocturna","Buen Tiempo","De alcance","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2017,17,1/1/2017,"Domingo",0,19:00:00,,"0.0",2,"Automóvil,Automóvil","Iturraspe Y Av Urquiza",3,2,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","No existe","I","Dentro","Urbana","Ninguna","No existe","Intersección","Deteriorada","Reducida","Atardecer","Buen Tiempo","De alcance","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2017,18,1/4/2017,"Miercoles",0,10:40:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Av Lopez y Planes Y Artigas",2,1,0,0,1,0,0,,"Avenida",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Intersección","Con baches","Buena","Diurna","Buen Tiempo","De alcance","S/D","Colisión","Material Suelto,Fluidos","Faltante","Barrera de hormigón","Sin restricción"
2017,19,1/4/2017,"Miercoles",0,13:00:00,,"0.0",1,"Transporte de Pasajeros Urbano (> 8 asientos)","Av Lopez y Planes Y Pedro Diaz Colodrero",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","S/D","S/D","Caída ocupante","Ninguna","Horizontal,Vertical","Barrera de hormigón","Sin restricción"
2017,20,1/7/2017,"Sabado",0,7:10:00,,"0.0",1,"Moto/Ciclomotor"," ",3,2,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","Ninguna","No funciona","Curva","Con baches","Buena","Diurna","Lluvia","S/D","S/D","Colisión","Agua,Fluidos","Faltante","Cordón divisorio","Sin restricción"
