anio_acci,nro_acci,fecha,desc_dia,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2020,1740,2020-05-14,Jueves,10:50:00,Ruta Provincial 20,0.0,2,"Pickup/Utilitario,Moto/Ciclomotor",Av Julian Bustinza ,3,1,1,0,1,0,0,"-32.14096, -61.97906",Ruta,20,PIAMONTE,San MARTÍN,Asfalto,S/D,XVIII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,"Horizontal,Vertical",Ninguna,Sin restricción
2020,1741,2020-05-13,Miercoles,17:00:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Palacios Y Ortiz,2,0,1,0,1,0,0,"-32.77468, -60.79341",Calle,,RICARDONE,San Lorenzo,Ripio,S/D,XVII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,S/D,Sin restricción
2020,1742,2020-02-10,Lunes,10:15:00,,0.0,2,"Bicicleta,Camión",Calle 24 - Olessio Y CAlle 37-Bvard. lovato,2,1,0,0,1,0,0,"-29.155224559229,-59.651373707604",Avenida,,RECONQUISTA,General Obligado,Asfalto,No existe,I,Dentro,Urbana,Semáforo,Funciona,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,Ciclista,Atropello,Ninguna,Vertical,"Cordón divisorio,Vegetación",Sin restricción
2020,1743,2020-05-02,Sabado,13:28:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Lamadrid Y Francia F,3,1,1,0,1,0,0,"-32.99804, -60.67776",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,Otro,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1744,2020-05-14,Jueves,16:30:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Dorrego Y Cayetano Silva,2,0,1,0,1,0,0,"-32.73302, -60.73676",Calle,,SAN LORENZO,San Lorenzo,Hormigón,No existe,XVII,S/D,Urbana,S/D,No existe,Intersección,Bueno,Buena,Diurna,S/D,Lateral,S/D,Colisión,S/D,Faltante,S/D,S/D
2020,1745,2020-05-13,Miercoles,09:25:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Eva Peron Y Irigoyen,2,1,0,0,1,0,0,"-32.72676, -60.735",Calle,,SAN LORENZO,San Lorenzo,Asfalto,S/D,XVII,S/D,Urbana,S/D,No existe,Intersección,S/D,Buena,Diurna,S/D,Lateral,S/D,Colisión,S/D,S/D,S/D,S/D
2020,1746,2020-05-06,Miercoles,16:35:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Av. Battle y Ordo�ez Y Laprida,2,1,0,0,1,0,0,"-33.00886, -60.64666",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1747,2020-02-11,Martes,08:30:00,Ruta Nacional 11,0.0,2,"Pickup/Utilitario,Automóvil",Calle 15 Y Ruta Nacional 11,2,1,0,0,1,0,0,"-29.120355235034,-59.652940942079",Ruta,11,AVELLANEDA,General Obligado,Asfalto,No existe,IX,Dentro,Urbana,Semáforo,Funciona,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,"Horizontal,Vertical","Cordón divisorio,Vegetación,Línea divisoria pintada",Sin restricción
2020,1748,2020-05-16,Sabado,12:45:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Belgrano Y Jujuy,2,1,0,0,1,0,0,"-32.71318, -60.73425",Calle,,PUERTO SAN MARTÍN,San Lorenzo,Asfalto,No existe,XVII,S/D,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1749,2020-02-11,Martes,,,0.0,2,"Moto/Ciclomotor,Automóvil",B Manera Y Brigadier Estanislao Lopez,4,2,0,0,2,0,0,"-31.233886005964,-61.476196104712",Calle,,RAFAELA,Castellanos,"Hormigón,Tierra",No existe,V,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,S/D,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1750,2020-02-11,Martes,,Ruta Provincial 70,0.0,2,"Moto/Ciclomotor,Pickup/Utilitario",Eusebio Marcilla Y M Oliber,3,1,1,0,1,0,0,"-31.259328373368,-61.50894037201",Ruta,70,RAFAELA,Castellanos,Asfalto,No existe,V,Dentro,Urbana,Paso Peatonal,No existe,Intersección,Bueno,Buena,Atardecer,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Horizontal,"Cordón divisorio,Vegetación",Sin restricción
2020,1751,2020-05-07,Jueves,10:05:00,,0.0,2,"Pickup/Utilitario,Bicicleta",Bv. Segui Y Buenos Aires,3,1,0,0,2,0,0,"-32.98019, -60.64087",Avenida,,ROSARIO,Rosario,Asfalto,S/D,II,Dentro,Urbana,S/D,S/D,Intersección,Bueno,S/D,S/D,S/D,S/D,Ciclista,Atropello,Ninguna,S/D,S/D,S/D
2020,1752,2020-05-05,Martes,21:00:00,Ruta Nacional 175,0.0,2,"Moto/Ciclomotor,Ambulancia",Cordoba Y Av San Martin,2,1,0,0,1,0,0,"-32.7175, -60.73116",Ruta,175,PUERTO SAN MARTÍN,San Lorenzo,Asfalto,No existe,XVII,S/D,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Nocturna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Horizontal,Ninguna,Sin restricción
2020,1753,2020-05-14,Jueves,07:30:00,Ruta Nacional 11,0.0,1,Moto/Ciclomotor,Av San Martin Y F S M de Oro,1,1,0,0,0,0,0,"-32.78273, -60.72646",Ruta,11,FRAY LUIS BELTRÁN,San Lorenzo,S/D,S/D,XVII,S/D,Urbana,S/D,S/D,Intersección,S/D,S/D,S/D,S/D,S/D,S/D,Cañda ocupante,S/D,S/D,S/D,S/D
