"anio_acci","nro_acci","fecha","desc_dia","fecha_aprox","hora_aprox","desc_ruta","km","cant_participantes","desc_participante","calle_avenida_km","total","heridos_leves","heridos_graves","heridos_gravisimos","ilesos","fallecidos","sin_datos","posicion_XY","desc_tipo_via","desc_ruta_ori","desc_loc","desc_dpto","desc_tipo_calzada","desc_tipo_banquina","desc_unidad_regional","desc_lugar_calzada","desc_zona","desc_prioridad","desc_estado_semaforo","desc_lugar_via","desc_estado_via","desc_estado_visibilidad","desc_luminosidad","desc_estado_clima","desc_tipo_colision","desc_tipo_atropello","desc_tipo_hecho","desc_pres_calzada","desc_senializacion","desc_separacion_via","desc_restriccion"
2015,2503,18/04/2015,"Sabado",0,20:10:00,"Ruta Nacional 11","0.0",2,"Moto/Ciclomotor,Moto/Ciclomotor","Calle 57-Prof Roberto Roveda Y Ruta Nacional 11",3,2,0,0,1,0,0,,"Ruta",11,"RECONQUISTA","General Obligado","Asfalto","Pavimento","IX","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Reducida","Nocturna,Con luz artificial","Buen Tiempo","Otro","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,2504,20/04/2015,"Lunes",0,11:30:00,,"0.0",3,"Moto/Ciclomotor,Pickup/Utilitario,Automóvil","Calle 50 Y Calle 33-Pueyrredon",3,0,1,0,2,0,0,,"Calle",,"RECONQUISTA","General Obligado","Tierra","No existe","IX","S/D","Urbana","S/D","No existe","Intersección","S/D","Buena","Diurna","S/D","Múltiple","S/D","Colisión","S/D","S/D","S/D","S/D"
2015,2505,28/04/2015,"Martes",0,,,"0.0",2,"Automóvil,Automóvil","Libertad 1000",2,0,0,0,1,0,1,,"Calle",,"VILLA CONSTITUCIÓN","Constitución","Asfalto","Pavimento","VI","Dentro","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","S/D","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2015,2506,01/04/2015,"Miercoles",0,14:30:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Av San Martin ",2,1,0,0,1,0,0,,"Calle",,"PUERTO SAN MARTÍN","San Lorenzo","Asfalto","No existe","XVII","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","Ninguna","Horizontal","Ninguna","Sin restricción"
2015,2507,10/04/2015,"Viernes",0,,,"0.0",1,"Moto/Ciclomotor","SAAVEDRA Y CHAPUY",1,0,0,0,0,0,1,,"Avenida",,"VILLA CONSTITUCIÓN","Constitución","Asfalto","Pavimento","VI","Dentro","Urbana","Ninguna","Funciona","Intersección","Bueno","Buena","Diurna","Buen Tiempo","S/D","S/D","Caída ocupante","Ninguna","Horizontal","Ninguna","Sin restricción"
2015,2508,06/04/2015,"Lunes",0,14:45:00,"Ruta Nacional A012","42.0",2,"Automóvil,Camión","Formosa ",3,1,0,0,2,0,0,,"Ruta","A012","ROLDÁN","San Lorenzo","Asfalto","Natural","XVII","Dentro","Rural","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","Frontal","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2015,2509,08/04/2015,"Miercoles",0,18:00:00,"Ruta Nacional 11","343.0",2,"Pickup/Utilitario,Moto/Ciclomotor"," ",2,1,0,0,1,0,0,,"Ruta",11,"TIMBÚES","San Lorenzo","Asfalto","Natural","XVII","Dentro","Urbana","Ninguna","No existe","Cruce","Deteriorada","Buena","Diurna","Buen Tiempo","De alcance","S/D","Colisión","Otro","Faltante","Ninguna","S/D"
2015,2510,21/04/2015,"Martes",0,08:50:00,,"0.0",2,"Moto/Ciclomotor,Pickup/Utilitario","Calle 40 - Formosa Y Calle 42 - Misiones",3,2,0,0,1,0,0,,"Calle",,"RECONQUISTA","General Obligado","Asfalto","Pavimento","IX","Dentro","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","Otro","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,2511,26/04/2015,"Domingo",0,,,"0.0",2,"Otros,Automóvil","Pbro D Segundo Y Presidente Peron",2,1,0,0,1,0,0,,"Calle",,"VILLA CONSTITUCIÓN","Constitución","Asfalto","Pavimento","VI","Dentro","Urbana","Semáforo","Funciona","Intersección","S/D","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Horizontal","Ninguna","Sin restricción"
2015,2512,10/04/2015,"Viernes",0,,,"0.0",2,"Moto/Ciclomotor,Automóvil","Juan Jose de Urquiza Y Salta",2,1,0,0,1,0,0,,"Calle",,"VILLA CONSTITUCIÓN","Constitución","Asfalto","Pavimento","VI","Dentro","Urbana","Ninguna","No existe","Intersección","Otro","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
