anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2018,10006,2018-11-21,Miercoles,0,17:25:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Lavalle Y Buenos Aires,2,1,1,0,0,0,0,"-29.462138888889,-60.221083333333",Calle,,VERA,Vera,Asfalto,No existe,XIX,Dentro,Urbana,S/D,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Frontal,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2018,10007,2018-11-03,Sabado,0,02:05:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Av Lopez y Planes ,2,0,1,0,1,0,0,"-31.62483, -60.71358",Calle,,SANTA FE,La Capital,Asfalto,No existe,I,Dentro,Urbana,Otra Señal,S/D,Recta,Bueno,Reducida,Nocturna,Buen Tiempo,Lateral,S/D,Colisión,S/D,"Horizontal,Vertical","Vegetación,Línea divisoria pintada",Sin restricción
2018,10008,2018-11-08,Jueves,0,16:35:00,,0.0,1,Moto/Ciclomotor,Iturraspe Y Pje Gaboto,2,0,0,0,0,0,2,"-31.625361111111,-60.721305555556",Calle,,SANTA FE,La Capital,"Asfalto,Tierra",No existe,I,Dentro,Urbana,Otra Señal,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Otro,S/D,Caída ocupante,S/D,Faltante,"Guardarrail,Vegetación",Sin restricción
2018,10009,2018-09-26,Miercoles,0,08:10:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Paraguay Y Santa Fe,2,1,0,0,1,0,0,"-32.944089, -60.643356",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Semáforo,Funciona,Intersección,Bueno,Buena,Diurna,S/D,Lateral,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,10010,2018-11-14,Miercoles,0,,,0.0,2,"Automóvil,Moto/Ciclomotor",Gdor Freyre Y Hernandarias,3,1,0,0,2,0,0,"-31.604777777778,-60.70675",Calle,,SANTA FE,La Capital,S/D,S/D,I,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D
2018,10011,2018-11-20,Martes,0,07:05:00,Ruta Nacional 178,0.0,2,"Moto/Ciclomotor,Moto/Ciclomotor",Calle 10 Y Calle 5,2,1,0,0,1,0,0,"-32.69005, -61.5219",Ruta,178,LAS PAREJAS,Belgrano,Asfalto,No existe,III,Dentro,Urbana,S/D,S/D,Intersección,Bueno,Buena,Diurna,S/D,Lateral,S/D,Colisión,S/D,S/D,Cordón divisorio,Sin restricción
2018,10012,2018-11-03,Sabado,0,13:50:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Estanislao Zeballos Y 9 de Julio,2,1,0,0,0,0,1,"-31.604916666667,-60.697055555556",S/D,,SANTA FE,La Capital,Asfalto,S/D,I,S/D,Urbana,S/D,S/D,Cruce,S/D,Reducida humo,S/D,S/D,S/D,S/D,S/D,Fluidos,S/D,S/D,S/D
2018,10014,2018-11-07,Miercoles,0,21:20:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Av Freyre 3400,2,0,0,0,0,0,2,"-31.63425,-60.715055555556",S/D,,SANTA FE,La Capital,Asfalto,No existe,I,S/D,S/D,Ninguna,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,Otro,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,10015,2018-11-15,Jueves,0,,,0.0,2,"Automóvil,Moto/Ciclomotor",Esmeralda Y Viamonte,2,1,0,0,1,0,0,"-32.968277777778,-60.626194444444",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,Intersección,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D
2018,10016,2018-11-15,Jueves,0,,,0.0,2,"Pickup/Utilitario,Moto/Ciclomotor",Camilo Aldao Y Sanguinetti,3,2,0,0,1,0,0,"-32.971805555556,-60.694777777778",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,Intersección,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D
