"id_distrito","departamento","distrito","Sexo","Grupo de edad","Nacionalidad","Población"
"1306","Belgrano","Armstrong","Varones","de 00 a 04 años","Argentina",438
"1306","Belgrano","Armstrong","Varones","de 00 a 04 años","Otros",3
"1306","Belgrano","Armstrong","Varones","de 05 a 09 años","Argentina",425
"1306","Belgrano","Armstrong","Varones","de 05 a 09 años","Otros",2
"1306","Belgrano","Armstrong","Varones","de 10 a 14 años","Argentina",369
"1306","Belgrano","Armstrong","Varones","de 10 a 14 años","Otros",2
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Argentina",451
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Otros",3
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Argentina",432
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Otros",5
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Argentina",377
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Otros",8
"1306","Belgrano","Armstrong","Varones","de 30 a 34 años","Argentina",433
"1306","Belgrano","Armstrong","Varones","de 30 a 34 años","Otros",6
"1306","Belgrano","Armstrong","Varones","de 35 a 39 años","Argentina",394
"1306","Belgrano","Armstrong","Varones","de 35 a 39 años","Otros",6
"1306","Belgrano","Armstrong","Varones","de 40 a 44 años","Argentina",346
"1306","Belgrano","Armstrong","Varones","de 45 a 49 años","Argentina",341
"1306","Belgrano","Armstrong","Varones","de 50 a 54 años","Argentina",283
"1306","Belgrano","Armstrong","Varones","de 55 a 59 años","Argentina",284
"1306","Belgrano","Armstrong","Varones","de 60 a 64 años","Argentina",258
"1306","Belgrano","Armstrong","Varones","de 60 a 64 años","Otros",5
"1306","Belgrano","Armstrong","Varones","de 65 a 69 años","Argentina",210
"1306","Belgrano","Armstrong","Varones","de 65 a 69 años","Otros",4
"1306","Belgrano","Armstrong","Varones","de 70 a 74 años","Argentina",163
"1306","Belgrano","Armstrong","Varones","de 70 a 74 años","Otros",2
"1306","Belgrano","Armstrong","Varones","de 75 a 79 años","Argentina",140
"1306","Belgrano","Armstrong","Varones","de 75 a 79 años","Otros",3
"1306","Belgrano","Armstrong","Varones","de 80 y más años","Argentina",121
"1306","Belgrano","Armstrong","Varones","de 80 y más años","Otros",4
"1306","Belgrano","Armstrong","Mujeres","de 00 a 04 años","Argentina",374
"1306","Belgrano","Armstrong","Mujeres","de 00 a 04 años","Otros",4
"1306","Belgrano","Armstrong","Mujeres","de 05 a 09 años","Argentina",417
"1306","Belgrano","Armstrong","Mujeres","de 05 a 09 años","Otros",5
"1306","Belgrano","Armstrong","Mujeres","de 10 a 14 años","Argentina",411
"1306","Belgrano","Armstrong","Mujeres","de 10 a 14 años","Otros",2
"1306","Belgrano","Armstrong","Mujeres","de 15 a 19 años","Argentina",442
"1306","Belgrano","Armstrong","Mujeres","de 15 a 19 años","Otros",1
"1306","Belgrano","Armstrong","Mujeres","de 20 a 24 años","Argentina",406
"1306","Belgrano","Armstrong","Mujeres","de 20 a 24 años","Otros",5
"1306","Belgrano","Armstrong","Mujeres","de 25 a 29 años","Argentina",445
"1306","Belgrano","Armstrong","Mujeres","de 25 a 29 años","Otros",4
"1306","Belgrano","Armstrong","Mujeres","de 30 a 34 años","Argentina",473
"1306","Belgrano","Armstrong","Mujeres","de 30 a 34 años","Otros",3
"1306","Belgrano","Armstrong","Mujeres","de 35 a 39 años","Argentina",382
"1306","Belgrano","Armstrong","Mujeres","de 40 a 44 años","Argentina",336
"1306","Belgrano","Armstrong","Mujeres","de 40 a 44 años","Otros",3
"1306","Belgrano","Armstrong","Mujeres","de 45 a 49 años","Argentina",337
"1306","Belgrano","Armstrong","Mujeres","de 45 a 49 años","Otros",1
"1306","Belgrano","Armstrong","Mujeres","de 50 a 54 años","Argentina",324
"1306","Belgrano","Armstrong","Mujeres","de 50 a 54 años","Otros",1
"1306","Belgrano","Armstrong","Mujeres","de 55 a 59 años","Argentina",301
"1306","Belgrano","Armstrong","Mujeres","de 55 a 59 años","Otros",1
"1306","Belgrano","Armstrong","Mujeres","de 60 a 64 años","Argentina",288
"1306","Belgrano","Armstrong","Mujeres","de 60 a 64 años","Otros",2
"1306","Belgrano","Armstrong","Mujeres","de 65 a 69 años","Argentina",282
"1306","Belgrano","Armstrong","Mujeres","de 65 a 69 años","Otros",5
"1306","Belgrano","Armstrong","Mujeres","de 70 a 74 años","Argentina",236
"1306","Belgrano","Armstrong","Mujeres","de 70 a 74 años","Otros",3
"1306","Belgrano","Armstrong","Mujeres","de 75 a 79 años","Argentina",173
"1306","Belgrano","Armstrong","Mujeres","de 75 a 79 años","Otros",3
"1306","Belgrano","Armstrong","Mujeres","de 80 y más años","Argentina",286
"1306","Belgrano","Armstrong","Mujeres","de 80 y más años","Otros",10
"1301","Belgrano","Bouquet","Varones","de 00 a 04 años","Argentina",57
"1301","Belgrano","Bouquet","Varones","de 05 a 09 años","Argentina",65
"1301","Belgrano","Bouquet","Varones","de 10 a 14 años","Argentina",65
"1301","Belgrano","Bouquet","Varones","de 15 a 19 años","Argentina",64
"1301","Belgrano","Bouquet","Varones","de 20 a 24 años","Argentina",48
"1301","Belgrano","Bouquet","Varones","de 25 a 29 años","Argentina",45
"1301","Belgrano","Bouquet","Varones","de 30 a 34 años","Argentina",51
"1301","Belgrano","Bouquet","Varones","de 35 a 39 años","Argentina",52
"1301","Belgrano","Bouquet","Varones","de 40 a 44 años","Argentina",46
"1301","Belgrano","Bouquet","Varones","de 45 a 49 años","Argentina",48
"1301","Belgrano","Bouquet","Varones","de 50 a 54 años","Argentina",36
"1301","Belgrano","Bouquet","Varones","de 55 a 59 años","Argentina",27
"1301","Belgrano","Bouquet","Varones","de 55 a 59 años","Otros",2
"1301","Belgrano","Bouquet","Varones","de 60 a 64 años","Argentina",36
"1301","Belgrano","Bouquet","Varones","de 65 a 69 años","Argentina",31
"1301","Belgrano","Bouquet","Varones","de 70 a 74 años","Argentina",32
"1301","Belgrano","Bouquet","Varones","de 75 a 79 años","Argentina",15
"1301","Belgrano","Bouquet","Varones","de 80 y más años","Argentina",14
"1301","Belgrano","Bouquet","Varones","de 80 y más años","Otros",1
"1301","Belgrano","Bouquet","Mujeres","de 00 a 04 años","Argentina",44
"1301","Belgrano","Bouquet","Mujeres","de 05 a 09 años","Argentina",66
"1301","Belgrano","Bouquet","Mujeres","de 10 a 14 años","Argentina",65
"1301","Belgrano","Bouquet","Mujeres","de 15 a 19 años","Argentina",60
"1301","Belgrano","Bouquet","Mujeres","de 20 a 24 años","Argentina",50
"1301","Belgrano","Bouquet","Mujeres","de 25 a 29 años","Argentina",53
"1301","Belgrano","Bouquet","Mujeres","de 30 a 34 años","Argentina",48
"1301","Belgrano","Bouquet","Mujeres","de 35 a 39 años","Argentina",46
"1301","Belgrano","Bouquet","Mujeres","de 35 a 39 años","Otros",1
"1301","Belgrano","Bouquet","Mujeres","de 40 a 44 años","Argentina",48
"1301","Belgrano","Bouquet","Mujeres","de 45 a 49 años","Argentina",36
"1301","Belgrano","Bouquet","Mujeres","de 50 a 54 años","Argentina",39
"1301","Belgrano","Bouquet","Mujeres","de 55 a 59 años","Argentina",34
"1301","Belgrano","Bouquet","Mujeres","de 60 a 64 años","Argentina",40
"1301","Belgrano","Bouquet","Mujeres","de 65 a 69 años","Argentina",33
"1301","Belgrano","Bouquet","Mujeres","de 70 a 74 años","Argentina",23
"1301","Belgrano","Bouquet","Mujeres","de 75 a 79 años","Argentina",15
"1301","Belgrano","Bouquet","Mujeres","de 75 a 79 años","Otros",1
"1301","Belgrano","Bouquet","Mujeres","de 80 y más años","Argentina",24
"1301","Belgrano","Bouquet","Mujeres","de 80 y más años","Otros",1
"1303","Belgrano","Las Parejas","Varones","de 00 a 04 años","Argentina",537
"1303","Belgrano","Las Parejas","Varones","de 00 a 04 años","Otros",1
"1303","Belgrano","Las Parejas","Varones","de 05 a 09 años","Argentina",494
"1303","Belgrano","Las Parejas","Varones","de 05 a 09 años","Otros",2
"1303","Belgrano","Las Parejas","Varones","de 10 a 14 años","Argentina",519
"1303","Belgrano","Las Parejas","Varones","de 10 a 14 años","Otros",2
"1303","Belgrano","Las Parejas","Varones","de 15 a 19 años","Argentina",501
"1303","Belgrano","Las Parejas","Varones","de 20 a 24 años","Argentina",515
"1303","Belgrano","Las Parejas","Varones","de 20 a 24 años","Otros",3
"1303","Belgrano","Las Parejas","Varones","de 25 a 29 años","Argentina",531
"1303","Belgrano","Las Parejas","Varones","de 25 a 29 años","Otros",5
"1303","Belgrano","Las Parejas","Varones","de 30 a 34 años","Argentina",528
"1303","Belgrano","Las Parejas","Varones","de 30 a 34 años","Otros",3
"1303","Belgrano","Las Parejas","Varones","de 35 a 39 años","Argentina",413
"1303","Belgrano","Las Parejas","Varones","de 35 a 39 años","Otros",3
"1303","Belgrano","Las Parejas","Varones","de 40 a 44 años","Argentina",339
"1303","Belgrano","Las Parejas","Varones","de 40 a 44 años","Otros",5
"1303","Belgrano","Las Parejas","Varones","de 45 a 49 años","Argentina",369
"1303","Belgrano","Las Parejas","Varones","de 45 a 49 años","Otros",5
"1303","Belgrano","Las Parejas","Varones","de 50 a 54 años","Argentina",321
"1303","Belgrano","Las Parejas","Varones","de 50 a 54 años","Otros",3
"1303","Belgrano","Las Parejas","Varones","de 55 a 59 años","Argentina",337
"1303","Belgrano","Las Parejas","Varones","de 55 a 59 años","Otros",4
"1303","Belgrano","Las Parejas","Varones","de 60 a 64 años","Argentina",255
"1303","Belgrano","Las Parejas","Varones","de 60 a 64 años","Otros",3
